id,name,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
3WkZ44nflkY1Fb5wrkJuMM,Πάρτυ,0.601,0.509,0.106,0.592,1.82e-06,0.11,0.579,130.03,206769
403xU330P0QnP2k9gt2icn,Vittorio,0.464,0.597,0.222,0.627,0.82,0.213,0.271,81.07,235610
3OGv5aAfxKGmkstUtsfFUC,Air Max,0.86,0.487,0.0758,0.591,1.04e-05,0.112,0.133,125.003,187200
5aQoNwVTwlr4rFSFZonGxA,Eftihismenes Imeres In C Minor,0.752,0.559,0.134,0.202,0,0.147,0.412,122.942,167053
5cfpzLdRk0o8acJNU6aQSY,Holdem,0.574,0.727,0.377,0.692,0,0.0907,0.272,142.5,122517
7aV83dc7M5CASPveVmzsSw,KATEGIDA,0.614,0.653,0.0485,0.274,0,0.115,0.809,152.918,171289
2Hl382Ahx7IV5i2Qfu5m2Q,Tattoo,0.687,0.479,0.0552,0.712,0.0153,0.184,0.136,109.994,203455
60YhDtk1pz5MI3boHGMN37,Intro (Apo Tous Yponomous),0.693,0.651,0.235,0.455,0,0.4,0.371,137.967,184783
7sliFe6W30tPBPh6dvZsIH,Area Codes,0.823,0.388,0.491,0.0187,0,0.0876,0.507,154.569,139326
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,0.571,0.544,0.0299,0.453,0.00805,0.322,0.216,132.052,132631
